"pitcherId","pitcher"
112526,"Bartolo Colon"
150274,"Joe Nathan"
276351,"Jason Grilli"
276542,"Joaquin Benoit"
279571,"Matt Belisle"
282332,"CC Sabathia"
285064,"Ryan Vogelsong"
285079,"R.A. Dickey"
346798,"Kyle Lohse"
407793,"John Lackey"
407819,"Matt Thornton"
407822,"Jorge De La Rosa"
407845,"Fernando Rodney"
407890,"Colby Lewis"
407908,"Joel Peralta"
408061,"Francisco Rodriguez"
408241,"Jake Peavy"
424144,"Oliver Perez"
425426,"Chien-Ming Wang"
425492,"Ryan Madson"
425532,"Jerome Williams"
425626,"Chris Capuano"
425657,"Javier Lopez"
425794,"Adam Wainwright"
425835,"Chin-hui Tsao"
425844,"Zack Greinke"
425856,"Gavin Floyd"
429400,"Adam Loewen"
429719,"Edwin Jackson"
429722,"Ervin Santana"
429780,"Chris Narveson"
430580,"Alfredo Simon"
430589,"Chad Qualls"
430599,"Joe Blanton"
430634,"Sean Burnett"
430641,"Blaine Boyer"
430661,"Dustin McGowan"
430912,"Matt Cain"
430935,"Cole Hamels"
431148,"Scott Kazmir"
432934,"Chris Young"
433579,"John Danks"
433584,"Roberto Hernandez"
433586,"Santiago Casilla"
433587,"Felix Hernandez"
433589,"Yusmeiro Petit"
434137,"Logan Kensing"
434378,"Justin Verlander"
434442,"J.P. Howell"
434538,"Francisco Liriano"
434622,"Ubaldo Jimenez"
434628,"Jason Hammel"
434671,"Anibal Sanchez"
434672,"Chris Smith"
434718,"Huston Street"
435043,"Zach Duke"
435221,"Brandon McCarthy"
435400,"Jason Motte"
444436,"Ryan Webb"
444468,"Hector Rondon"
444520,"Craig Breslow"
444857,"Scott Feldman"
445060,"Ricky Nolasco"
445197,"Mike Dunn"
445213,"Brandon Kintzler"
445276,"Kenley Jansen"
445926,"Jesse Chavez"
445968,"Dana Eveland"
446099,"John Axford"
446185,"Logan Ondrusek"
446321,"Ross Detwiler"
446372,"Corey Kluber"
446381,"Darwin Barney"
446399,"Brett Cecil"
446899,"Brad Ziegler"
447714,"Eric O'Flaherty"
447755,"Steve Delabar"
448178,"Kevin Jepsen"
448179,"Rich Hill"
448281,"Sean Doolittle"
448306,"James Shields"
448609,"Tony Sipp"
448614,"Carlos Torres"
448802,"Jaime Garcia"
448855,"Junior Guerra"
449097,"Jonathan Papelbon"
449104,"Jim Henderson"
449173,"Lucas Harrell"
450172,"Edinson Volquez"
450203,"Charlie Morton"
450212,"Pat Neshek"
450275,"Mark Lowe"
450282,"Glen Perkins"
450306,"Jason Vargas"
450308,"Jered Weaver"
450665,"Kris Medlen"
450729,"Doug Fister"
451085,"Brian Matusz"
451584,"Wade Davis"
451596,"Yovani Gallardo"
451661,"Josh Fields"
451775,"Fernando Rodriguez"
451783,"Dustin Molleken"
452027,"Andrew Albers"
452061,"Zach Phillips"
452657,"Jon Lester"
452666,"Tom Wilhelmsen"
452733,"Tom Gorzelanny"
453172,"Jared Hughes"
453178,"Ian Kennedy"
453192,"Andrew Miller"
453214,"Steven Wright"
453222,"Scott Carroll"
453249,"Jeff Manship"
453265,"Tony Watson"
453281,"Wade LeBlanc"
453284,"Blake Parker"
453286,"Max Scherzer"
453307,"David Huff"
453311,"Tim Lincecum"
453329,"Clay Buchholz"
453343,"Mark Melancon"
453344,"Brandon Morrow"
453385,"Clayton Richard"
453562,"Jake Arrieta"
453646,"Carlos Villanueva"
455009,"Jonathan Broxton"
455374,"Antonio Bastardo"
456027,"Ross Ohlendorf"
456034,"David Price"
456068,"Miguel Gonzalez"
456071,"Yohan Flande"
456124,"Erik Kratz"
456167,"A.J. Griffin"
456379,"Al Alburquerque"
456501,"Johnny Cueto"
456696,"David Hernandez"
456701,"Homer Bailey"
456713,"Matt Bush"
457429,"Boone Logan"
457435,"Phil Coke"
457456,"Jo-Jo Reyes"
457711,"Sean O'Sullivan"
457732,"Andrew Bailey"
457768,"Bryan Morris"
457779,"Michael Kirkman"
457915,"Javy Guerra"
457918,"J.A. Happ"
458006,"Matt Albers"
458537,"Cory Luebke"
458584,"Xavier Cedeno"
458677,"Justin Wilson"
458678,"Mike Broadway"
458708,"Josh Tomlin"
458730,"Bobby Parnell"
459429,"Jake McGee"
459987,"Cesar Ramos"
460024,"Luke Hochevar"
460059,"Mike Pelfrey"
460077,"Drew Butera"
460269,"Chris Gimenez"
460283,"Jerry Blevins"
460701,"James Russell"
461325,"Tyler Clippard"
461829,"Gio Gonzalez"
461833,"Phil Hughes"
461865,"Andrew Romine"
461872,"Anthony Swarzak"
462136,"Marco Estrada"
462382,"Jim Johnson"
462515,"Miguel Socolovich"
462985,"Franklin Morales"
465657,"Joakim Soria"
467008,"Pedro Strop"
467100,"Ivan Nova"
468396,"Alexi Ogando"
468504,"Jhoulys Chacin"
471083,"Miguel Montero"
471822,"Jumbo Diaz"
471911,"Carlos Carrasco"
472551,"Fernando Abad"
472610,"Luis Garcia"
473879,"Sam Dyson"
474029,"Zach Putnam"
474284,"Cory Rasmus"
474463,"Brett Anderson"
474521,"Shawn Tolleson"
474668,"Eric Surkamp"
474699,"Vance Worley"
475054,"Chaz Roe"
475115,"Tyson Ross"
475138,"Kyle Drabek"
475243,"Travis Wood"
475247,"Ryan Flaherty"
475479,"David Phelps"
476123,"Justin Marks"
476451,"Jeremy Hellickson"
476454,"Dellin Betances"
476570,"Vin Mazzaro"
476589,"Adam Warren"
477003,"Jonathon Niese"
477132,"Clayton Kershaw"
477569,"Fernando Salas"
488748,"Ryan Buchter"
488768,"Andrew Cashner"
488786,"Louis Coleman"
488846,"Brian Duensing"
488984,"Tommy Hunter"
489002,"Steve Johnson"
489119,"Wade Miley"
489197,"Curtis Partch"
489265,"Sergio Romo"
489294,"Tanner Scheppers"
489446,"Kirby Yates"
490063,"Matt Garza"
491646,"Jeanmar Gomez"
491703,"Neftali Feliz"
491708,"Arquimedes Caminero"
493157,"Koji Uehara"
493200,"Seung Hwan Oh"
493247,"Peter Moylan"
493603,"Adam Ottavino"
497807,"Frank Herrmann"
500610,"Deolis Guerra"
500724,"JC Ramirez"
500765,"Dayan Diaz"
500779,"Jose Quintana"
500871,"Eduardo Escobar"
501381,"Michael Pineda"
501593,"Luis Avilan"
501625,"Jose Alvarez"
501697,"Jhan Marinez"
501789,"Will Harris"
501817,"Tony Barnette"
501822,"Chris Hatcher"
501925,"Joe Smith"
501936,"Matt Buschmann"
501955,"Joba Chamberlain"
501957,"Chris Tillman"
501992,"Nathan Karns"
502004,"George Kontos"
502009,"Mat Latos"
502026,"Jeremy Jeffress"
502028,"Blake Wood"
502032,"Bud Norris"
502042,"Chris Archer"
502043,"Kyle Gibson"
502046,"Jeff Locke"
502051,"Josh Ravin"
502083,"Zach McAllister"
502085,"David Robertson"
502087,"Kevin Chapman"
502154,"Zach Britton"
502171,"Alex Cobb"
502188,"Jeff Samardzija"
502190,"Mike Leake"
502202,"Brad Boxberger"
502211,"Mike Bolsinger"
502239,"Trevor Cahill"
502272,"Casey Fien"
502285,"Tyler Ladendorf"
502327,"Hector Santiago"
502381,"Luke Gregerson"
502457,"Drew Hayes"
502522,"Justin Miller"
502593,"Jake Petricka"
502624,"Chase Anderson"
502706,"Derek Holland"
502748,"Brad Peacock"
503285,"Darren O'Day"
503444,"Joel De La Cruz"
503449,"Wily Peralta"
504083,"Jorge Rondon"
504186,"Arnold Leon"
504379,"Juan Nicasio"
506433,"Yu Darvish"
506560,"Alexi Amarista"
514669,"Rafael Martin"
514913,"Ruben Tejada"
515052,"Mayckol Guaipe"
516414,"Ariel Pena"
516714,"Dario Alvarez"
516910,"Carlos Frias"
516969,"Kelvin Herrera"
517008,"Alex Colome"
517414,"Randall Delgado"
517448,"Wilfredo Boscan"
517593,"Danny Salazar"
517629,"Kelvin Marte"
518397,"Scott Alexander"
518452,"Chad Bettis"
518468,"Michael Blazek"
518516,"Madison Bumgarner"
518553,"Steve Cishek"
518560,"Paul Clemens"
518567,"Josh Collmenter"
518617,"Jake Diekman"
518633,"Danny Duffy"
518693,"Sam Freeman"
518715,"Cory Gearrin"
518716,"Dillon Gee"
518748,"Justin Grimm"
518774,"Matt Harvey"
518790,"Chris Heston"
518858,"Nate Jones"
518875,"Shawn Kelley"
518883,"Dean Kiekhefer"
518886,"Craig Kimbrel"
518927,"Tommy Layne"
519008,"T.J. McFarland"
519043,"Matt Moore"
519076,"Jimmy Nelson"
519085,"Brett Oberholtzer"
519096,"Dan Otero"
519141,"Drew Pomeranz"
519144,"Rick Porcello"
519151,"Ryan Pressly"
519166,"Neil Ramirez"
519168,"Anthony Ranaudo"
519186,"Matt Reynolds"
519240,"Marc Rzepczynski"
519242,"Chris Sale"
519263,"A.J. Schugel"
519267,"Evan Scribner"
519293,"Will Smith"
519294,"Josh Smoker"
519301,"Sammy Solis"
519322,"Drew Storen"
519326,"Hunter Strickland"
519344,"Nick Tepesch"
519381,"Pat Venditte"
519437,"Chris Withrow"
519455,"Jordan Zimmermann"
520980,"Pedro Baez"
521230,"Liam Hendriks"
523260,"Joe Kelly"
523848,"Jose Dominguez"
523989,"Rubby De La Rosa"
527048,"Martin Perez"
527054,"Julio Teheran"
527055,"Arodys Vizcaino"
532077,"Roberto Osuna"
533167,"Matt Shoemaker"
534606,"Ryan LaMarre"
534627,"Tyler Holt"
534737,"Pat Dean"
534812,"Kevin Quackenbush"
534910,"Jesse Hahn"
534947,"Tim Adleman"
539438,"Scott Diamond"
541640,"Erasmo Ramirez"
541652,"Bruce Rondon"
542194,"Christian Bethancourt"
542432,"Jose Ramirez"
542587,"Elvis Araujo"
542609,"Enrique Burgos"
542674,"Gonzalez Germen"
542866,"Austin Adams"
542881,"Tyler Anderson"
542882,"Matt Andriese"
542884,"Dustin Antolin"
542888,"Shawn Armstrong"
542947,"Richard Bleier"
542953,"Buddy Boshers"
542960,"Brad Brach"
543017,"Hunter Cervenka"
543022,"Tyler Chatwood"
543037,"Gerrit Cole"
543045,"Adam Conley"
543054,"Jarred Cosart"
543056,"Daniel Coulombe"
543101,"Anthony DeSclafani"
543118,"Oliver Drake"
543135,"Nathan Eovaldi"
543144,"Danny Farquhar"
543169,"Brian Flynn"
543184,"Christian Friedrich"
543195,"Eddie Gamboa"
543219,"Sean Gilmartin"
543242,"J.R. Graham"
543243,"Sonny Gray"
543261,"Jason Gurka"
543272,"Brad Hand"
543278,"Blaine Hardy"
543294,"Kyle Hendricks"
543331,"J.J. Hoover"
543334,"TJ House"
543339,"Daniel Hudson"
543359,"Dan Jennings"
543380,"Taylor Jungmann"
543391,"Casey Kelly"
543408,"Tom Koehler"
543424,"John Lamb"
543456,"Kyle Lobstein"
543475,"Jordan Lyles"
543483,"Matt Magill"
543506,"Brandon Maurer"
543507,"Trevor May"
543521,"Collin McHugh"
543532,"Tim Melville"
543542,"Alex Meyer"
543548,"Tommy Milone"
543557,"Mike Montgomery"
543606,"Jake Odorizzi"
543698,"Donn Roach"
543699,"Tanner Roark"
543716,"David Rollins"
543726,"Robbie Ross"
543734,"Chris Rusin"
543746,"Rob Scahill"
543766,"Bryan Shaw"
543776,"J.B. Shuck"
543779,"Kevin Siegrist"
543859,"Michael Tonkin"
543883,"Nick Vincent"
543900,"Daniel Webb"
543901,"Ryan Weber"
543921,"Joe Wieland"
543935,"Alex Wilson"
543964,"Tony Zych"
544150,"Albert Suarez"
544727,"Jeurys Familia"
544759,"Bo Schultz"
544836,"Enny Romero"
544928,"Tyler Lyons"
544930,"Blake Smith"
544931,"Stephen Strasburg"
544993,"Steve Geltz"
545332,"Jake Barrett"
545333,"Trevor Bauer"
545357,"Matt Purke"
545363,"Jacob Turner"
546276,"Edwin Escobar"
547007,"Rob Whalen"
547179,"Michael Lorenzen"
547749,"Junichi Tazawa"
547874,"Hisashi Iwakuma"
547888,"Masahiro Tanaka"
547943,"Hyun-Jin Ryu"
547973,"Aroldis Chapman"
548337,"Logan Verrett"
548357,"Christian Bergman"
548389,"Ross Stripling"
553878,"Felipe Rivero"
553883,"Vicente Campos"
554234,"Williams Perez"
554340,"Yimi Garcia"
570240,"Felix Pena"
570257,"Joely Rodriguez"
570632,"Jose Urena"
570649,"Yordano Ventura"
570663,"Hansel Robles"
570666,"Luis Cessa"
570714,"Cesar Vargas"
571035,"William Cuevas"
571473,"Buddy Baumann"
571476,"Chris Beck"
571510,"Matt Boyd"
571539,"Matt Carasiti"
571561,"Tony Cingrani"
571572,"Joseph Colon"
571578,"Patrick Corbin"
571584,"Caleb Cotham"
571616,"Matt Dermody"
571656,"Buck Farmer"
571666,"Mike Fiers"
571670,"Dylan Floro"
571704,"Ken Giles"
571710,"Mychal Givens"
571735,"David Hale"
571760,"Andrew Heaney"
571800,"Drew Hutchison"
571863,"Matt Koch"
571871,"Ian Krol"
571882,"Derek Law"
571893,"Adam Liberatore"
571901,"Aaron Loup"
571911,"Damien Magnifico"
571927,"Steven Matz"
571946,"Shelby Miller"
571951,"Bryan Mitchell"
571963,"A.J. Morris"
571969,"Conor Mullee"
572020,"James Paxton"
572021,"James Pazos"
572033,"Josh Phegley"
572038,"Branden Pinder"
572044,"Brooks Pounders"
572070,"Garrett Richards"
572086,"Brady Rodgers"
572096,"Trevor Rosenthal"
572102,"Keyvius Sampson"
572119,"Patrick Schuster"
572140,"Tyler Skaggs"
572193,"Ryan Tepera"
572208,"Ashur Tolliver"
572283,"Madison Younginer"
572308,"Jose Valdez"
572309,"Kendry Flores"
572362,"Robbie Erlin"
572365,"Ryan Goins"
572403,"Drew VerHagen"
572750,"Eddie Butler"
572788,"Tyler Cravy"
572831,"Josh Edgin"
572888,"Shane Greene"
572971,"Dallas Keuchel"
572990,"Pat Light"
573009,"Joe Mantiply"
573046,"Mike Morin"
573064,"Vidal Nuno"
573109,"A.J. Ramos"
573124,"Taylor Rogers"
573185,"Dan Straily"
573186,"Marcus Stroman"
573188,"Tyler Sturdevant"
573589,"Michael Ynoa"
573668,"Juan Minaya"
580792,"Nick Goody"
582494,"Robby Scott"
591693,"Edubray Ramos"
592091,"A.J. Achter"
592102,"Cody Allen"
592127,"Johnny Barbato"
592130,"Danny Barnes"
592135,"Cam Bedrosian"
592169,"Austin Brice"
592170,"Parker Bridwell"
592222,"Alex Claudio"
592254,"Jose De Leon"
592314,"Mike Foltynewicz"
592330,"Perci Garner"
592332,"Kevin Gausman"
592340,"Erik Goeddel"
592341,"David Goforth"
592346,"Chi Chi Gonzalez"
592351,"Jon Gray"
592390,"Heath Hembree"
592407,"Bryan Holaday"
592419,"Jared Hoying"
592422,"Jason Hursh"
592426,"Luke Jackson"
592433,"Tyrell Jenkins"
592454,"Tommy Kahnle"
592527,"Michael Mariot"
592533,"Cody Martin"
592593,"Justin Nicolino"
592612,"Josh Osich"
592614,"Dillon Overton"
592644,"Adam Plutko"
592662,"Robbie Ray"
592665,"Addison Reed"
592716,"Adrian Sampson"
592717,"Aaron Sanchez"
592741,"Chasen Shreve"
592767,"Drew Smyly"
592779,"Brock Stewart"
592789,"Noah Syndergaard"
592791,"Jameson Taillon"
592804,"Tyler Thornburg"
592811,"Andrew Triggs"
592815,"Sam Tuivailala"
592826,"Vince Velasquez"
592836,"Taijuan Walker"
592866,"Trevor Williams"
592869,"Tyler Wilson"
592872,"Alex Wimmers"
593140,"Michael Feliz"
593372,"Carlos Martinez"
593417,"Raul Alcantara"
593576,"Hector Neris"
593582,"Abel De Los Santos"
593679,"Gabriel Ynoa"
593958,"Eduardo Rodriguez"
593969,"Jayson Aquino"
593974,"Wandy Peralta"
594027,"Tayron Guerrero"
594311,"Jandel Gustave"
594577,"Mike Mayers"
594736,"Cody Anderson"
594742,"Alec Asher"
594760,"Aaron Blair"
594772,"Jake Buchanan"
594792,"Brandon Cunniff"
594795,"Grant Dayton"
594798,"Jacob deGrom"
594840,"Matt Grace"
594857,"Keith Hessler"
594943,"Zach Neal"
594951,"Ryan O'Rourke"
594985,"Ben Rowen"
594986,"Kyle Ryan"
595001,"Josh Smith"
595014,"Blake Treinen"
